Geneid,Genesymbol,Genebiotype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000000003,TSPAN6,protein_coding,604,691,367,380,1059,332,352,971
ENSG00000000005,TNMD,protein_coding,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,protein_coding,1995,2302,2160,2454,1974,693,747,1761
ENSG00000000457,SCYL3,protein_coding,554,607,433,518,88,26,29,83
ENSG00000000460,C1orf112,protein_coding,275,350,379,349,390,155,189,438
ENSG00000000938,FGR,protein_coding,2,2,2,1,0,0,0,1
ENSG00000000971,CFH,protein_coding,0,0,1,0,3,1,0,2
ENSG00000001036,FUCA2,protein_coding,178,229,334,452,821,280,287,732
ENSG00000001084,GCLC,protein_coding,1274,1749,915,941,804,251,310,903
ENSG00000001167,NFYA,protein_coding,5820,6361,4616,5061,2311,727,685,1855
ENSG00000001460,STPG1,protein_coding,286,290,432,512,320,119,130,391
ENSG00000001461,NIPAL3,protein_coding,1653,1985,2190,2735,800,258,324,864
ENSG00000001497,LAS1L,protein_coding,2310,2456,2829,3617,426,151,230,609
ENSG00000001561,ENPP4,protein_coding,1350,1544,1242,1344,1704,560,513,1525
ENSG00000001617,SEMA3F,protein_coding,1233,1195,757,986,270,93,159,403
ENSG00000001626,CFTR,protein_coding,6,2,10,15,7,1,1,4
ENSG00000001629,ANKIB1,protein_coding,2465,2852,2490,2741,1296,412,462,1257
ENSG00000001630,CYP51A1,protein_coding,123,166,172,191,101,29,41,101
ENSG00000001631,KRIT1,protein_coding,653,776,729,746,254,90,96,292
ENSG00000002016,RAD52,protein_coding,467,617,613,719,159,43,70,188
ENSG00000002330,BAD,protein_coding,248,320,218,524,173,71,107,198
ENSG00000002549,LAP3,protein_coding,2172,2519,3845,5070,756,244,333,962
ENSG00000002586,CD99,protein_coding,8476,10240,7193,9439,3949,1455,1173,3056
ENSG00000002586,CD99,protein_coding,8476,10240,7193,9439,3949,1455,1173,3056
ENSG00000002587,HS3ST1,protein_coding,75,92,244,422,57,17,16,42
ENSG00000002726,AOC1,protein_coding,13,10,7,7,1,0,0,0
ENSG00000002745,WNT16,protein_coding,0,1,2,0,3,0,0,4
ENSG00000002746,HECW1,protein_coding,0,5,1,2,17,8,9,44
